forename,surname,reason
Tyreek,Hill,confirmed_release_2026
Keenan,Allen,confirmed_release_2026
Justin,Simmons,confirmed_release_2026
Trevon,Diggs,confirmed_release_2026
Ryan,Tannehill,retired_not_in_nflverse
Christian,Wilkins,not_in_nflverse_2026
Deebo,Samuel,not_in_nflverse_2026
Bryce,Huff,not_in_nflverse_2026
Chandler,Jones,not_in_nflverse_2026
Marshon,Lattimore,ufa_no_active_contract
Jawaan,Taylor,ufa_no_active_contract
Taylor,Decker,ufa_no_active_contract
Stefon,Diggs,ufa_no_active_contract
Aaron,Rodgers,ufa_no_active_contract
Russell,Wilson,ufa_no_active_contract
Donovan,Wilson,ufa_no_active_contract
